Gene_ID,GO_ID,GO_Term,Ontology
Ca_15763,GO:0005975,carbohydrate metabolic process,BP
Ca_15763,GO:0016868,intramolecular phosphotransferase activity,MF
Ca_15764,GO:0004857,enzyme inhibitor activity,MF
Ca_15764,GO:0005618,cell wall,CC
Ca_15764,GO:0030599,pectinesterase activity,MF
Ca_15764,GO:0042545,cell wall modification,BP
Ca_15765,GO:0000166,nucleotide binding,MF
Ca_15765,GO:0003676,nucleic acid binding,MF
Ca_15765,GO:0004812,aminoacyl-tRNA ligase activity,MF
Ca_15765,GO:0005524,ATP binding,MF
Ca_15765,GO:0005737,cytoplasm,CC
Ca_15765,GO:0006418,tRNA aminoacylation for protein translation,BP
Ca_15765,GO:0016874,ligase activity,MF
Ca_15766,GO:0004857,enzyme inhibitor activity,MF
Ca_15766,GO:0030599,pectinesterase activity,MF
Ca_15767,GO:0003824,catalytic activity,MF
Ca_15767,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_15767,GO:0005975,carbohydrate metabolic process,BP
Ca_15775,GO:0003735,structural constituent of ribosome,MF
Ca_15775,GO:0005622,intracellular anatomical structure,CC
Ca_15775,GO:0005840,ribosome,CC
Ca_15775,GO:0006412,translation,BP
Ca_15778,GO:0006139,nucleobase-containing compound metabolic process,BP
Ca_15778,GO:0008168,methyltransferase activity,MF
Ca_15779,GO:0005515,protein binding,MF
Ca_15779,GO:0008270,zinc ion binding,MF
Ca_15782,GO:0006891,intra-Golgi vesicle-mediated transport,BP
Ca_15783,GO:0005515,protein binding,MF
Ca_15783,GO:0015743,malate transport,BP
Ca_15785,GO:0003677,DNA binding,MF
Ca_15785,GO:0003700,DNA-binding transcription factor activity,MF
Ca_15785,GO:0006355,regulation of DNA-templated transcription,BP
Ca_15786,GO:0005515,protein binding,MF
Ca_15786,GO:0005622,intracellular anatomical structure,CC
Ca_15786,GO:0008270,zinc ion binding,MF
Ca_15787,GO:0003777,microtubule motor activity,MF
Ca_15787,GO:0005515,protein binding,MF
Ca_15787,GO:0005524,ATP binding,MF
Ca_15787,GO:0005871,kinesin complex,CC
Ca_15787,GO:0007018,microtubule-based movement,BP
Ca_15787,GO:0008017,microtubule binding,MF
Ca_15789,GO:0003735,structural constituent of ribosome,MF
Ca_15789,GO:0005622,intracellular anatomical structure,CC
Ca_15789,GO:0005840,ribosome,CC
Ca_15789,GO:0006412,translation,BP
Ca_15791,GO:0005515,protein binding,MF
Ca_15793,GO:0016020,membrane,CC
Ca_15794,GO:0008270,zinc ion binding,MF
Ca_15799,GO:0008152,metabolic process,BP
Ca_15799,GO:0016491,oxidoreductase activity,MF
Ca_15799,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",MF
Ca_15800,GO:0004045,peptidyl-tRNA hydrolase activity,MF
Ca_15802,GO:0006629,lipid metabolic process,BP
Ca_15803,GO:0003824,catalytic activity,MF
Ca_15803,GO:0008152,metabolic process,BP
Ca_15804,GO:0005515,protein binding,MF
Ca_15807,GO:0005215,transporter activity,MF
Ca_15807,GO:0006810,transport,BP
Ca_15807,GO:0016020,membrane,CC
Ca_15807,GO:0022857,transmembrane transporter activity,MF
Ca_15807,GO:0055085,transmembrane transport,BP
Ca_15808,GO:0005515,protein binding,MF
Ca_15809,GO:0006508,proteolysis,BP
Ca_15809,GO:0008236,serine-type peptidase activity,MF
Ca_15809,GO:0016020,membrane,CC
Ca_15815,GO:0004672,protein kinase activity,MF
Ca_15815,GO:0004674,protein serine/threonine kinase activity,MF
Ca_15815,GO:0005524,ATP binding,MF
Ca_15815,GO:0006468,protein phosphorylation,BP
Ca_15815,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_15816,GO:0005215,transporter activity,MF
Ca_15816,GO:0006810,transport,BP
Ca_15816,GO:0016020,membrane,CC
Ca_15817,GO:0000151,ubiquitin ligase complex,CC
Ca_15817,GO:0004842,ubiquitin-protein transferase activity,MF
Ca_15817,GO:0005488,binding,MF
Ca_15817,GO:0005515,protein binding,MF
Ca_15817,GO:0016567,protein ubiquitination,BP
Ca_15818,GO:0046983,protein dimerization activity,MF
Ca_15819,GO:0016491,oxidoreductase activity,MF
Ca_15820,GO:0005634,nucleus,CC
Ca_15820,GO:0006355,regulation of DNA-templated transcription,BP
Ca_15820,GO:0046983,protein dimerization activity,MF
Ca_15821,GO:0003824,catalytic activity,MF
Ca_15821,GO:0008270,zinc ion binding,MF
Ca_15821,GO:0016787,hydrolase activity,MF
Ca_15824,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_15824,GO:0005618,cell wall,CC
Ca_15824,GO:0005975,carbohydrate metabolic process,BP
Ca_15824,GO:0016762,xyloglucan:xyloglucosyl transferase activity,MF
Ca_15824,GO:0048046,apoplast,CC
Ca_15826,GO:0004672,protein kinase activity,MF
Ca_15826,GO:0004674,protein serine/threonine kinase activity,MF
Ca_15826,GO:0005524,ATP binding,MF
Ca_15826,GO:0006468,protein phosphorylation,BP
Ca_15826,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_15828,GO:0005737,cytoplasm,CC
Ca_15828,GO:0006479,protein methylation,BP
Ca_15828,GO:0008168,methyltransferase activity,MF
Ca_15828,GO:0008276,protein methyltransferase activity,MF
Ca_15829,GO:0004462,lactoylglutathione lyase activity,MF
Ca_15829,GO:0046872,metal ion binding,MF
Ca_15830,GO:0004462,lactoylglutathione lyase activity,MF
Ca_15830,GO:0046872,metal ion binding,MF
Ca_15831,GO:0005215,transporter activity,MF
Ca_15831,GO:0006810,transport,BP
Ca_15831,GO:0016020,membrane,CC
Ca_15831,GO:0022857,transmembrane transporter activity,MF
Ca_15831,GO:0055085,transmembrane transport,BP
Ca_15832,GO:0003723,RNA binding,MF
Ca_15835,GO:0003677,DNA binding,MF
Ca_15835,GO:0003700,DNA-binding transcription factor activity,MF
Ca_15835,GO:0006355,regulation of DNA-templated transcription,BP
Ca_15837,GO:0005515,protein binding,MF
Ca_15838,GO:0005515,protein binding,MF
Ca_15840,GO:0005515,protein binding,MF
Ca_15842,GO:0005515,protein binding,MF
Ca_15843,GO:0004470,malic enzyme activity,MF
Ca_15843,GO:0004471,malate dehydrogenase (decarboxylating) (NAD+) activity,MF
Ca_15843,GO:0006108,malate metabolic process,BP
Ca_15843,GO:0051287,NAD binding,MF
Ca_15844,GO:0005506,iron ion binding,MF
Ca_15844,GO:0016491,oxidoreductase activity,MF
Ca_15844,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,MF
Ca_15845,GO:0003824,catalytic activity,MF
Ca_15845,GO:0004722,protein serine/threonine phosphatase activity,MF
Ca_15845,GO:0006470,protein dephosphorylation,BP
Ca_15846,GO:0016763,pentosyltransferase activity,MF
Ca_15847,GO:0003723,RNA binding,MF
Ca_15847,GO:0005622,intracellular anatomical structure,CC
Ca_15847,GO:0019843,rRNA binding,MF
Ca_15849,GO:0016757,glycosyltransferase activity,MF
Ca_15850,GO:0003723,RNA binding,MF
Ca_15850,GO:0006396,RNA processing,BP
Ca_15850,GO:0008168,methyltransferase activity,MF
Ca_15850,GO:0008173,RNA methyltransferase activity,MF
Ca_15851,GO:0004616,phosphogluconate dehydrogenase (decarboxylating) activity,MF
Ca_15851,GO:0006098,pentose-phosphate shunt,BP
Ca_15851,GO:0016491,oxidoreductase activity,MF
Ca_15851,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",MF
Ca_15852,GO:0004396,hexokinase activity,MF
Ca_15852,GO:0005524,ATP binding,MF
Ca_15852,GO:0005975,carbohydrate metabolic process,BP
Ca_15852,GO:0006096,glycolytic process,BP
Ca_15852,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",MF
Ca_15853,GO:0005515,protein binding,MF
Ca_15854,GO:0005618,cell wall,CC
Ca_15854,GO:0030599,pectinesterase activity,MF
Ca_15854,GO:0042545,cell wall modification,BP
Ca_15856,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_15856,GO:0005975,carbohydrate metabolic process,BP
Ca_15857,GO:0003779,actin binding,MF
Ca_15857,GO:0030036,actin cytoskeleton organization,BP
Ca_15858,GO:0003779,actin binding,MF
Ca_15858,GO:0030036,actin cytoskeleton organization,BP
Ca_15861,GO:0005515,protein binding,MF
Ca_15862,GO:0004725,protein tyrosine phosphatase activity,MF
Ca_15862,GO:0006470,protein dephosphorylation,BP
Ca_15862,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,MF
Ca_15862,GO:0016311,dephosphorylation,BP
Ca_15862,GO:0016791,phosphatase activity,MF
Ca_15863,GO:0003677,DNA binding,MF
Ca_15863,GO:0006355,regulation of DNA-templated transcription,BP
Ca_15864,GO:0003824,catalytic activity,MF
Ca_15864,GO:0004222,metalloendopeptidase activity,MF
Ca_15864,GO:0006508,proteolysis,BP
Ca_15864,GO:0046872,metal ion binding,MF
Ca_15865,GO:0003872,6-phosphofructokinase activity,MF
Ca_15865,GO:0005524,ATP binding,MF
Ca_15865,GO:0005945,6-phosphofructokinase complex,CC
Ca_15865,GO:0006002,fructose 6-phosphate metabolic process,BP
Ca_15865,GO:0006096,glycolytic process,BP
Ca_15866,GO:0006810,transport,BP
Ca_15866,GO:0015031,protein transport,BP
Ca_15868,GO:0005506,iron ion binding,MF
Ca_15868,GO:0005737,cytoplasm,CC
Ca_15868,GO:0019310,inositol catabolic process,BP
Ca_15868,GO:0050113,inositol oxygenase activity,MF
Ca_15869,GO:0046872,metal ion binding,MF
Ca_15870,GO:0000166,nucleotide binding,MF
Ca_15870,GO:0003676,nucleic acid binding,MF
Ca_15870,GO:0004812,aminoacyl-tRNA ligase activity,MF
Ca_15870,GO:0004816,asparagine-tRNA ligase activity,MF
Ca_15870,GO:0005524,ATP binding,MF
Ca_15870,GO:0005737,cytoplasm,CC
Ca_15870,GO:0006418,tRNA aminoacylation for protein translation,BP
Ca_15870,GO:0006421,asparaginyl-tRNA aminoacylation,BP
Ca_15871,GO:0015031,protein transport,BP
Ca_15872,GO:0003735,structural constituent of ribosome,MF
Ca_15872,GO:0005622,intracellular anatomical structure,CC
Ca_15872,GO:0005840,ribosome,CC
Ca_15872,GO:0006412,translation,BP
Ca_15872,GO:0015031,protein transport,BP
Ca_15874,GO:0003824,catalytic activity,MF
Ca_15874,GO:0046872,metal ion binding,MF
Ca_15875,GO:0003824,catalytic activity,MF
Ca_15875,GO:0004222,metalloendopeptidase activity,MF
Ca_15875,GO:0006508,proteolysis,BP
Ca_15875,GO:0046872,metal ion binding,MF
Ca_15876,GO:0005515,protein binding,MF
Ca_15877,GO:0003735,structural constituent of ribosome,MF
Ca_15877,GO:0005840,ribosome,CC
Ca_15877,GO:0006412,translation,BP
Ca_15878,GO:0008171,O-methyltransferase activity,MF
Ca_15879,GO:0015078,proton transmembrane transporter activity,MF
Ca_15879,GO:0015986,proton motive force-driven ATP synthesis,BP
Ca_15880,GO:0003824,catalytic activity,MF
Ca_15880,GO:0009058,biosynthetic process,BP
Ca_15880,GO:0030170,pyridoxal phosphate binding,MF
Ca_15881,GO:0004177,aminopeptidase activity,MF
Ca_15881,GO:0030145,manganese ion binding,MF
Ca_15883,GO:0008152,metabolic process,BP
Ca_15883,GO:0016791,phosphatase activity,MF
Ca_15884,GO:0004672,protein kinase activity,MF
Ca_15884,GO:0004713,protein tyrosine kinase activity,MF
Ca_15884,GO:0005524,ATP binding,MF
Ca_15884,GO:0006468,protein phosphorylation,BP
Ca_15884,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_15885,GO:0003824,catalytic activity,MF
Ca_15885,GO:0004126,cytidine deaminase activity,MF
Ca_15885,GO:0008270,zinc ion binding,MF
Ca_15885,GO:0016787,hydrolase activity,MF
Ca_15886,GO:0003676,nucleic acid binding,MF
Ca_15886,GO:0003677,DNA binding,MF
Ca_15886,GO:0003682,chromatin binding,MF
Ca_15886,GO:0008270,zinc ion binding,MF
Ca_15887,GO:0006812,monoatomic cation transport,BP
Ca_15887,GO:0055085,transmembrane transport,BP
Ca_15889,GO:0003824,catalytic activity,MF
Ca_15889,GO:0008152,metabolic process,BP
Ca_15890,GO:0004623,A2-type glycerophospholipase activity,MF
Ca_15890,GO:0005509,calcium ion binding,MF
Ca_15890,GO:0006644,phospholipid metabolic process,BP
Ca_15890,GO:0016042,lipid catabolic process,BP
Ca_15891,GO:0004335,galactokinase activity,MF
Ca_15891,GO:0005524,ATP binding,MF
Ca_15891,GO:0005737,cytoplasm,CC
Ca_15891,GO:0006012,galactose metabolic process,BP
Ca_15891,GO:0008152,metabolic process,BP
Ca_15891,GO:0016301,kinase activity,MF
Ca_15891,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",MF
Ca_15891,GO:0046835,carbohydrate phosphorylation,BP
Ca_15893,GO:0003824,catalytic activity,MF
Ca_15893,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_15893,GO:0005975,carbohydrate metabolic process,BP
Ca_15893,GO:0043169,cation binding,MF
Ca_15895,GO:0003824,catalytic activity,MF
Ca_15895,GO:0009058,biosynthetic process,BP
Ca_15896,GO:0000166,nucleotide binding,MF
Ca_15896,GO:0005524,ATP binding,MF
Ca_15896,GO:0006810,transport,BP
Ca_15896,GO:0016887,ATP hydrolysis activity,MF
Ca_15896,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_15898,GO:0005742,mitochondrial outer membrane translocase complex,CC
Ca_15898,GO:0030150,protein import into mitochondrial matrix,BP
Ca_15899,GO:0003677,DNA binding,MF
Ca_15899,GO:0005634,nucleus,CC
Ca_15899,GO:0006355,regulation of DNA-templated transcription,BP
Ca_15899,GO:0009725,response to hormone,BP
Ca_15899,GO:0046983,protein dimerization activity,MF
Ca_15900,GO:0003700,DNA-binding transcription factor activity,MF
Ca_15900,GO:0006355,regulation of DNA-templated transcription,BP
Ca_15900,GO:0043565,sequence-specific DNA binding,MF
Ca_15901,GO:0016757,glycosyltransferase activity,MF
Ca_15902,GO:0003676,nucleic acid binding,MF
Ca_15902,GO:0003824,catalytic activity,MF
Ca_15902,GO:0004075,biotin carboxylase activity,MF
Ca_15902,GO:0004386,helicase activity,MF
Ca_15902,GO:0005524,ATP binding,MF
Ca_15902,GO:0008152,metabolic process,BP
Ca_15902,GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",MF
Ca_15902,GO:0016874,ligase activity,MF
Ca_15902,GO:0046872,metal ion binding,MF
Ca_15903,GO:0004672,protein kinase activity,MF
Ca_15903,GO:0004674,protein serine/threonine kinase activity,MF
Ca_15903,GO:0005524,ATP binding,MF
Ca_15903,GO:0006468,protein phosphorylation,BP
Ca_15903,GO:0006950,response to stress,BP
Ca_15903,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_15905,GO:0004672,protein kinase activity,MF
Ca_15905,GO:0005524,ATP binding,MF
Ca_15905,GO:0006468,protein phosphorylation,BP
Ca_15905,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_15906,GO:0001522,pseudouridine synthesis,BP
Ca_15906,GO:0003723,RNA binding,MF
Ca_15906,GO:0009451,RNA modification,BP
Ca_15906,GO:0009982,pseudouridine synthase activity,MF
Ca_15907,GO:0004672,protein kinase activity,MF
Ca_15907,GO:0004674,protein serine/threonine kinase activity,MF
Ca_15907,GO:0005524,ATP binding,MF
Ca_15907,GO:0006468,protein phosphorylation,BP
Ca_15907,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_15908,GO:0005506,iron ion binding,MF
Ca_15908,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_15908,GO:0020037,heme binding,MF
Ca_15909,GO:0005488,binding,MF
Ca_15909,GO:0005515,protein binding,MF
Ca_15910,GO:0004672,protein kinase activity,MF
Ca_15910,GO:0004674,protein serine/threonine kinase activity,MF
Ca_15910,GO:0005524,ATP binding,MF
Ca_15910,GO:0006468,protein phosphorylation,BP
Ca_15910,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_15911,GO:0008168,methyltransferase activity,MF
Ca_15913,GO:0003824,catalytic activity,MF
Ca_15913,GO:0004642,phosphoribosylformylglycinamidine synthase activity,MF
Ca_15913,GO:0006189,'de novo' IMP biosynthetic process,BP
Ca_15914,GO:0005515,protein binding,MF
Ca_15915,GO:0008152,metabolic process,BP
Ca_15915,GO:0016491,oxidoreductase activity,MF
Ca_15916,GO:0003824,catalytic activity,MF
Ca_15916,GO:0004555,"alpha,alpha-trehalase activity",MF
Ca_15916,GO:0005991,trehalose metabolic process,BP
Ca_15920,GO:0003952,NAD+ synthase (glutamine-hydrolyzing) activity,MF
Ca_15920,GO:0005524,ATP binding,MF
Ca_15920,GO:0009435,NAD+ biosynthetic process,BP
Ca_15920,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",MF
Ca_15923,GO:0005488,binding,MF
Ca_15923,GO:0006886,intracellular protein transport,BP
Ca_15923,GO:0006913,nucleocytoplasmic transport,BP
Ca_15924,GO:0000272,polysaccharide catabolic process,BP
Ca_15924,GO:0005975,carbohydrate metabolic process,BP
Ca_15924,GO:0016161,beta-amylase activity,MF
Ca_15926,GO:0005515,protein binding,MF
Ca_15930,GO:0003735,structural constituent of ribosome,MF
Ca_15930,GO:0005840,ribosome,CC
Ca_15930,GO:0006412,translation,BP
Ca_15930,GO:0019843,rRNA binding,MF
Ca_15931,GO:0003824,catalytic activity,MF
Ca_15931,GO:0006633,fatty acid biosynthetic process,BP
Ca_15931,GO:0008152,metabolic process,BP
Ca_15931,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_15933,GO:0009055,electron transfer activity,MF
Ca_15933,GO:0015035,protein-disulfide reductase activity,MF
Ca_15933,GO:0045454,cell redox homeostasis,BP
Ca_15935,GO:0003677,DNA binding,MF
Ca_15935,GO:0003713,transcription coactivator activity,MF
Ca_15935,GO:0006355,regulation of DNA-templated transcription,BP
Ca_15936,GO:0000166,nucleotide binding,MF
Ca_15936,GO:0000808,origin recognition complex,CC
Ca_15936,GO:0003682,chromatin binding,MF
Ca_15936,GO:0005515,protein binding,MF
Ca_15936,GO:0005524,ATP binding,MF
Ca_15936,GO:0005634,nucleus,CC
Ca_15936,GO:0006260,DNA replication,BP
Ca_15936,GO:0008270,zinc ion binding,MF
Ca_15936,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_15937,GO:0008152,metabolic process,BP
Ca_15937,GO:0016746,acyltransferase activity,MF
Ca_15939,GO:0005515,protein binding,MF
Ca_15940,GO:0000166,nucleotide binding,MF
Ca_15940,GO:0004222,metalloendopeptidase activity,MF
Ca_15940,GO:0005524,ATP binding,MF
Ca_15940,GO:0006508,proteolysis,BP
Ca_15940,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_15941,GO:0005515,protein binding,MF
Ca_15941,GO:0008270,zinc ion binding,MF
Ca_15941,GO:0046872,metal ion binding,MF
Ca_15942,GO:0005509,calcium ion binding,MF
Ca_15943,GO:0005509,calcium ion binding,MF
Ca_15944,GO:0005515,protein binding,MF
Ca_15944,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_15944,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",MF
Ca_15947,GO:0004806,triacylglycerol lipase activity,MF
Ca_15947,GO:0006629,lipid metabolic process,BP
Ca_15948,GO:0003924,GTPase activity,MF
Ca_15948,GO:0005525,GTP binding,MF
Ca_15949,GO:0003824,catalytic activity,MF
Ca_15949,GO:0003978,UDP-glucose 4-epimerase activity,MF
Ca_15949,GO:0006012,galactose metabolic process,BP
Ca_15951,GO:0005515,protein binding,MF
Ca_15951,GO:0008270,zinc ion binding,MF
Ca_15951,GO:0030247,polysaccharide binding,MF
Ca_15952,GO:0005515,protein binding,MF
Ca_15952,GO:0008270,zinc ion binding,MF
Ca_15952,GO:0030247,polysaccharide binding,MF
Ca_15958,GO:0004550,nucleoside diphosphate kinase activity,MF
Ca_15958,GO:0005524,ATP binding,MF
Ca_15958,GO:0006183,GTP biosynthetic process,BP
Ca_15958,GO:0006228,UTP biosynthetic process,BP
Ca_15958,GO:0006241,CTP biosynthetic process,BP
Ca_15960,GO:0003824,catalytic activity,MF
Ca_15960,GO:0008152,metabolic process,BP
Ca_15961,GO:0005515,protein binding,MF
Ca_15962,GO:0003824,catalytic activity,MF
Ca_15962,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_15962,GO:0005975,carbohydrate metabolic process,BP
Ca_15962,GO:0030246,carbohydrate binding,MF
Ca_15963,GO:0004252,serine-type endopeptidase activity,MF
Ca_15963,GO:0042802,identical protein binding,MF
Ca_15963,GO:0043086,negative regulation of catalytic activity,BP
Ca_15967,GO:0003700,DNA-binding transcription factor activity,MF
Ca_15967,GO:0006355,regulation of DNA-templated transcription,BP
Ca_15967,GO:0043565,sequence-specific DNA binding,MF
Ca_15975,GO:0008017,microtubule binding,MF
Ca_15978,GO:0005507,copper ion binding,MF
Ca_15978,GO:0009055,electron transfer activity,MF
Ca_15979,GO:0003677,DNA binding,MF
Ca_15979,GO:0003700,DNA-binding transcription factor activity,MF
Ca_15979,GO:0006355,regulation of DNA-templated transcription,BP
Ca_15980,GO:0004672,protein kinase activity,MF
Ca_15980,GO:0005515,protein binding,MF
Ca_15980,GO:0005524,ATP binding,MF
Ca_15980,GO:0006468,protein phosphorylation,BP
Ca_15980,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_15981,GO:0033178,"proton-transporting two-sector ATPase complex, catalytic domain",CC
Ca_15981,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",MF
Ca_15982,GO:0004616,phosphogluconate dehydrogenase (decarboxylating) activity,MF
Ca_15982,GO:0006098,pentose-phosphate shunt,BP
Ca_15982,GO:0016491,oxidoreductase activity,MF
Ca_15982,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",MF
Ca_15982,GO:0050661,NADP binding,MF
Ca_15984,GO:0042318,penicillin biosynthetic process,BP
Ca_15988,GO:0004672,protein kinase activity,MF
Ca_15988,GO:0004674,protein serine/threonine kinase activity,MF
Ca_15988,GO:0005509,calcium ion binding,MF
Ca_15988,GO:0005524,ATP binding,MF
Ca_15988,GO:0006468,protein phosphorylation,BP
Ca_15988,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_15989,GO:0015079,potassium ion transmembrane transporter activity,MF
Ca_15989,GO:0016020,membrane,CC
Ca_15989,GO:0071805,potassium ion transmembrane transport,BP
Ca_15990,GO:0016020,membrane,CC
Ca_15991,GO:0000166,nucleotide binding,MF
Ca_15991,GO:0005524,ATP binding,MF
Ca_15991,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_15995,GO:0004601,peroxidase activity,MF
Ca_15995,GO:0005509,calcium ion binding,MF
Ca_15995,GO:0016020,membrane,CC
Ca_15995,GO:0016491,oxidoreductase activity,MF
Ca_15995,GO:0050664,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor",MF
Ca_15998,GO:0004672,protein kinase activity,MF
Ca_15998,GO:0004674,protein serine/threonine kinase activity,MF
Ca_15998,GO:0005524,ATP binding,MF
Ca_15998,GO:0006468,protein phosphorylation,BP
Ca_15998,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_15999,GO:0016787,hydrolase activity,MF
Ca_16000,GO:0005488,binding,MF
Ca_16000,GO:0005515,protein binding,MF
Ca_16001,GO:0003700,DNA-binding transcription factor activity,MF
Ca_16001,GO:0006355,regulation of DNA-templated transcription,BP
Ca_16001,GO:0043565,sequence-specific DNA binding,MF
Ca_16002,GO:0003676,nucleic acid binding,MF
Ca_16003,GO:0003824,catalytic activity,MF
Ca_16003,GO:0009058,biosynthetic process,BP
Ca_16003,GO:0030170,pyridoxal phosphate binding,MF
Ca_16004,GO:0030001,metal ion transport,BP
Ca_16004,GO:0046872,metal ion binding,MF
Ca_16005,GO:0016491,oxidoreductase activity,MF
Ca_16005,GO:0050660,flavin adenine dinucleotide binding,MF
Ca_16007,GO:0003677,DNA binding,MF
Ca_16007,GO:0003682,chromatin binding,MF
Ca_16009,GO:0004672,protein kinase activity,MF
Ca_16009,GO:0004674,protein serine/threonine kinase activity,MF
Ca_16009,GO:0004707,MAP kinase activity,MF
Ca_16009,GO:0005524,ATP binding,MF
Ca_16009,GO:0006468,protein phosphorylation,BP
Ca_16009,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_16010,GO:0004650,polygalacturonase activity,MF
Ca_16010,GO:0005975,carbohydrate metabolic process,BP
Ca_16012,GO:0003677,DNA binding,MF
Ca_16012,GO:0003700,DNA-binding transcription factor activity,MF
Ca_16012,GO:0006355,regulation of DNA-templated transcription,BP
Ca_16012,GO:0043565,sequence-specific DNA binding,MF
Ca_16013,GO:0005515,protein binding,MF
Ca_16014,GO:0005515,protein binding,MF
Ca_16014,GO:0008270,zinc ion binding,MF
Ca_16016,GO:0005515,protein binding,MF
Ca_16017,GO:0003676,nucleic acid binding,MF
Ca_16017,GO:0003677,DNA binding,MF
Ca_16017,GO:0004386,helicase activity,MF
Ca_16017,GO:0005524,ATP binding,MF
Ca_16017,GO:0006289,nucleotide-excision repair,BP
Ca_16017,GO:0016787,hydrolase activity,MF
Ca_16018,GO:0005515,protein binding,MF
Ca_16018,GO:0008270,zinc ion binding,MF
Ca_16019,GO:0003677,DNA binding,MF
Ca_16019,GO:0005622,intracellular anatomical structure,CC
Ca_16020,GO:0016881,acid-amino acid ligase activity,MF
Ca_16021,GO:0005515,protein binding,MF
Ca_16021,GO:0007165,signal transduction,BP
Ca_16022,GO:0006508,proteolysis,BP
Ca_16022,GO:0008237,metallopeptidase activity,MF
Ca_16022,GO:0008270,zinc ion binding,MF
Ca_16023,GO:0005198,structural molecule activity,MF
Ca_16023,GO:0006886,intracellular protein transport,BP
Ca_16023,GO:0016192,vesicle-mediated transport,BP
Ca_16023,GO:0030130,clathrin coat of trans-Golgi network vesicle,CC
Ca_16023,GO:0030132,clathrin coat of coated pit,CC
Ca_16025,GO:0005515,protein binding,MF
Ca_16025,GO:0051260,protein homooligomerization,BP
Ca_16026,GO:0005506,iron ion binding,MF
Ca_16026,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_16026,GO:0020037,heme binding,MF
Ca_16027,GO:0004672,protein kinase activity,MF
Ca_16027,GO:0005524,ATP binding,MF
Ca_16027,GO:0006468,protein phosphorylation,BP
Ca_16027,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_16028,GO:0008152,metabolic process,BP
Ca_16028,GO:0016491,oxidoreductase activity,MF
Ca_16029,GO:0005215,transporter activity,MF
Ca_16029,GO:0006810,transport,BP
Ca_16029,GO:0016020,membrane,CC
Ca_16031,GO:0005524,ATP binding,MF
Ca_16031,GO:0005737,cytoplasm,CC
Ca_16031,GO:0008360,regulation of cell shape,BP
Ca_16031,GO:0009058,biosynthetic process,BP
Ca_16031,GO:0016874,ligase activity,MF
Ca_16031,GO:0016881,acid-amino acid ligase activity,MF
Ca_16031,GO:0051301,cell division,BP
Ca_16033,GO:0003922,GMP synthase (glutamine-hydrolyzing) activity,MF
Ca_16033,GO:0005524,ATP binding,MF
Ca_16033,GO:0006164,purine nucleotide biosynthetic process,BP
Ca_16033,GO:0006177,GMP biosynthetic process,BP
Ca_16033,GO:0016462,pyrophosphatase activity,MF
Ca_16034,GO:0046983,protein dimerization activity,MF
Ca_16036,GO:0003777,microtubule motor activity,MF
Ca_16036,GO:0005515,protein binding,MF
