Gene_ID,GO_ID,GO_Term,Ontology
Ca_00141,GO:0004197,cysteine-type endopeptidase activity,MF
Ca_00141,GO:0006508,proteolysis,BP
Ca_00142,GO:0004197,cysteine-type endopeptidase activity,MF
Ca_00142,GO:0006508,proteolysis,BP
Ca_00143,GO:0003677,DNA binding,MF
Ca_00143,GO:0005634,nucleus,CC
Ca_00143,GO:0046872,metal ion binding,MF
Ca_00145,GO:0003849,3-deoxy-7-phosphoheptulonate synthase activity,MF
Ca_00145,GO:0009073,aromatic amino acid family biosynthetic process,BP
Ca_00146,GO:0005488,binding,MF
Ca_00147,GO:0003677,DNA binding,MF
Ca_00147,GO:0008168,methyltransferase activity,MF
Ca_00148,GO:0000166,nucleotide binding,MF
Ca_00148,GO:0003677,DNA binding,MF
Ca_00148,GO:0005524,ATP binding,MF
Ca_00148,GO:0006260,DNA replication,BP
Ca_00148,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_00149,GO:0005215,transporter activity,MF
Ca_00149,GO:0006814,sodium ion transport,BP
Ca_00149,GO:0016020,membrane,CC
Ca_00149,GO:0055085,transmembrane transport,BP
Ca_00150,GO:0003935,GTP cyclohydrolase II activity,MF
Ca_00150,GO:0008686,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity",MF
Ca_00150,GO:0009231,riboflavin biosynthetic process,BP
Ca_00157,GO:0000287,magnesium ion binding,MF
Ca_00157,GO:0003824,catalytic activity,MF
Ca_00157,GO:0030976,thiamine pyrophosphate binding,MF
Ca_00158,GO:0000287,magnesium ion binding,MF
Ca_00158,GO:0003824,catalytic activity,MF
Ca_00158,GO:0030976,thiamine pyrophosphate binding,MF
Ca_00159,GO:0000287,magnesium ion binding,MF
Ca_00159,GO:0008152,metabolic process,BP
Ca_00159,GO:0010333,terpene synthase activity,MF
Ca_00159,GO:0016829,lyase activity,MF
Ca_00160,GO:0005515,protein binding,MF
Ca_00162,GO:0006457,protein folding,BP
Ca_00166,GO:0004089,carbonate dehydratase activity,MF
Ca_00166,GO:0008270,zinc ion binding,MF
Ca_00166,GO:0015976,carbon utilization,BP
Ca_00167,GO:0006508,proteolysis,BP
Ca_00167,GO:0008234,cysteine-type peptidase activity,MF
Ca_00168,GO:0016791,phosphatase activity,MF
Ca_00171,GO:0003723,RNA binding,MF
Ca_00174,GO:0003924,GTPase activity,MF
Ca_00174,GO:0005525,GTP binding,MF
Ca_00175,GO:0003723,RNA binding,MF
Ca_00175,GO:0003735,structural constituent of ribosome,MF
Ca_00175,GO:0006412,translation,BP
Ca_00177,GO:0008152,metabolic process,BP
Ca_00177,GO:0016758,hexosyltransferase activity,MF
Ca_00178,GO:0005515,protein binding,MF
Ca_00180,GO:0005515,protein binding,MF
Ca_00181,GO:0008270,zinc ion binding,MF
Ca_00181,GO:0016491,oxidoreductase activity,MF
Ca_00181,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",MF
Ca_00181,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_00182,GO:0003677,DNA binding,MF
Ca_00182,GO:0003700,DNA-binding transcription factor activity,MF
Ca_00182,GO:0005634,nucleus,CC
Ca_00182,GO:0006355,regulation of DNA-templated transcription,BP
Ca_00182,GO:0046983,protein dimerization activity,MF
Ca_00184,GO:0055085,transmembrane transport,BP
Ca_00185,GO:0055085,transmembrane transport,BP
Ca_00186,GO:0016020,membrane,CC
Ca_00186,GO:0030001,metal ion transport,BP
Ca_00186,GO:0046873,metal ion transmembrane transporter activity,MF
Ca_00186,GO:0055085,transmembrane transport,BP
Ca_00187,GO:0005524,ATP binding,MF
Ca_00187,GO:0006457,protein folding,BP
Ca_00187,GO:0051082,unfolded protein binding,MF
Ca_00188,GO:0003677,DNA binding,MF
Ca_00188,GO:0003887,DNA-directed DNA polymerase activity,MF
Ca_00188,GO:0005488,binding,MF
Ca_00188,GO:0006351,DNA-templated transcription,BP
Ca_00189,GO:0005515,protein binding,MF
Ca_00191,GO:0005515,protein binding,MF
Ca_00192,GO:0016884,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",MF
Ca_00194,GO:0005515,protein binding,MF
Ca_00194,GO:0008270,zinc ion binding,MF
Ca_00195,GO:0005506,iron ion binding,MF
Ca_00195,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_00195,GO:0020037,heme binding,MF
Ca_00196,GO:0055085,transmembrane transport,BP
Ca_00198,GO:0000287,magnesium ion binding,MF
Ca_00198,GO:0004427,inorganic diphosphate phosphatase activity,MF
Ca_00198,GO:0005737,cytoplasm,CC
Ca_00198,GO:0006796,phosphate-containing compound metabolic process,BP
Ca_00199,GO:0046983,protein dimerization activity,MF
Ca_00201,GO:0004672,protein kinase activity,MF
Ca_00201,GO:0004674,protein serine/threonine kinase activity,MF
Ca_00201,GO:0005515,protein binding,MF
Ca_00201,GO:0005524,ATP binding,MF
Ca_00201,GO:0006468,protein phosphorylation,BP
Ca_00201,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00202,GO:0004177,aminopeptidase activity,MF
Ca_00202,GO:0005737,cytoplasm,CC
Ca_00202,GO:0006508,proteolysis,BP
Ca_00202,GO:0008233,peptidase activity,MF
Ca_00204,GO:0004506,squalene monooxygenase activity,MF
Ca_00204,GO:0008152,metabolic process,BP
Ca_00204,GO:0016491,oxidoreductase activity,MF
Ca_00204,GO:0050660,flavin adenine dinucleotide binding,MF
Ca_00208,GO:0005576,extracellular region,CC
Ca_00209,GO:0005576,extracellular region,CC
Ca_00214,GO:0015035,protein-disulfide reductase activity,MF
Ca_00214,GO:0045454,cell redox homeostasis,BP
Ca_00215,GO:0003777,microtubule motor activity,MF
Ca_00215,GO:0005524,ATP binding,MF
Ca_00215,GO:0005871,kinesin complex,CC
Ca_00215,GO:0007018,microtubule-based movement,BP
Ca_00215,GO:0008017,microtubule binding,MF
Ca_00217,GO:0008428,ribonuclease inhibitor activity,MF
Ca_00217,GO:0051252,regulation of RNA metabolic process,BP
Ca_00218,GO:0003950,NAD+ poly-ADP-ribosyltransferase activity,MF
Ca_00221,GO:0000287,magnesium ion binding,MF
Ca_00221,GO:0008152,metabolic process,BP
Ca_00221,GO:0010333,terpene synthase activity,MF
Ca_00221,GO:0016829,lyase activity,MF
Ca_00225,GO:0046983,protein dimerization activity,MF
Ca_00226,GO:0010181,FMN binding,MF
Ca_00226,GO:0016491,oxidoreductase activity,MF
Ca_00226,GO:0045892,negative regulation of DNA-templated transcription,BP
Ca_00227,GO:0010181,FMN binding,MF
Ca_00227,GO:0016491,oxidoreductase activity,MF
Ca_00227,GO:0045892,negative regulation of DNA-templated transcription,BP
Ca_00228,GO:0004672,protein kinase activity,MF
