Gene_ID,Tissue,Tissue_Median_TPM,Other_Tissues_Mean_TPM,Other_Tissues_Maximum_TPM,Fold_Enrichment_vs_Other_Mean,Fold_Enrichment_vs_Second_Highest,Relative_Expression_Fraction,Tau,Expression_Class,Maximum_Tissue_Recalculated,Description,TF_Family,Marker_Score
Ca_03108,Androecium,3336.248447,157.15777922580645,1283.573763,21.1007543437703,2.5979422459993056,0.40645610435044643,0.9528938621561218,Tissue-specific,Androecium,Pectate lyase family protein,NA,49.06493629826083
Ca_05928,Androecium,3817.14395,188.45835151612903,1440.605455,20.15294611953252,2.6485360032159426,0.3951759512735398,0.9506284400104617,Tissue-specific,Androecium,Unknown protein,NA,49.01051426370213
Ca_08885,Androecium,568.331018,11.862571419354838,118.897075,44.26261277300309,4.748497976285076,0.6071453775567891,0.9791273552847772,Tissue-specific,Androecium,Calcium-binding EF hand family protein,NA,49.00477032004176
Ca_08641,Androecium,382.796295,5.903322903225806,56.59237,55.59587757667521,6.664012871843961,0.6765584397456974,0.9845784220476173,Tissue-specific,Androecium,zinc finger protein CONSTANS-LIKE 4-like [Glycine max],NA,48.9943777832076
Ca_20388,Androecium,361.890558,5.378135306451613,58.445383,56.8960269050625,6.1046045914112455,0.6846042897915143,0.985138779701316,Tissue-specific,Androecium,LOB domain-containing protein 27,LBD,48.84017086264996
Ca_05927,Androecium,2670.558902,118.56267982258065,866.685474,22.344421402768262,3.078948515392572,0.42082541289608755,0.9556037952453368,Tissue-specific,Androecium,"glycerol-3-phosphate dehydrogenase, NAD",NA,48.75385965257603
Ca_23446,Androecium,431.800528,7.580507919354839,86.38464,50.43996603321611,4.952821548500972,0.6475748968024189,0.982444421838792,Tissue-specific,Androecium,Late embryogenesis abundant (LEA) protein,NA,48.66743683423209
Ca_15125,Androecium,491.917589,9.55097629032258,135.868188,46.71772312218226,3.6014036293079297,0.6242625998319026,0.9805841943774802,Tissue-specific,Androecium,Phosphorylase superfamily protein,NA,48.64597978394845
Ca_03211,Androecium,848.880402,23.144636403225807,220.782167,35.199552720804405,3.832050220701469,0.5419432081408991,0.9727351033800568,Tissue-specific,Androecium,"alpha-1,4-glucan-protein synthase [UDP-forming]-like protein",NA,48.63039783288527
Ca_18695,Androecium,441.504002,8.063612870967741,99.371994,48.822032483030455,4.408640143185758,0.6384950473501683,0.9817360367415928,Tissue-specific,Androecium,"external alternative NAD(P)H-ubiquinone oxidoreductase B2, mitochondrial-like isoform X1 [Glycine max]",NA,48.404116889008385
Ca_21482,Androecium,6372.91855,380.02938948387094,2393.033383,16.728154640863497,2.6624184087244203,0.35105091773995595,0.9403680768077805,Tissue-specific,Androecium,Pectate lyase family protein,NA,48.30040546230906
Ca_09115,Androecium,4156.016162,220.63910616129033,1531.093634,18.75578833536205,2.7132911917053235,0.37796298657843386,0.9469109123831916,Tissue-specific,Androecium,Plant invertase/pectin methylesterase inhibitor superfamily protein,NA,48.142266374619204
Ca_07272,Androecium,772.522746,21.397668903225807,208.170653,34.535859483510535,3.6980462359602617,0.5380245058134123,0.972301567799758,Tissue-specific,Androecium,alpha carbonic anhydrase 4,NA,47.674090132694566
Ca_19816,Androecium,4195.182201,230.11223661290322,1594.449467,18.15646917920798,2.630094081820267,0.3703157859971923,0.9451484522989128,Tissue-specific,Androecium,putative pectinesterase/pectinesterase inhibitor 45-like [Glycine max],NA,47.57380805893894
Ca_10839,Androecium,371.613488,6.414886709677419,83.973779,50.25208106196546,4.385040801821937,0.651410672919683,0.9827377452196314,Tissue-specific,Androecium,unknown protein,NA,47.43593753574437
Ca_09158,Androecium,302.778216,4.363234612903226,51.572425,56.64085909446329,5.778280457863604,0.6912137257418035,0.985589337731935,Tissue-specific,Androecium,sucrose synthase 3,NA,47.33579717061893
